season,week,name,zscore
3,3,Joey Lawrence,-0.3873
3,3,Mario Lopez,-0.3873
3,3,Willa Ford,-0.3873
3,3,Jerry Springer,-0.7746
3,3,Emmitt Smith,-1.5492
3,4,Mario Lopez,1.4853
3,4,Willa Ford,1.1358
3,4,Joey Lawrence,0.7863
3,4,Vivica A. Fox,-0.2621
3,4,Monique Coleman,-0.2621
3,4,Emmitt Smith,-0.2621
3,4,Jerry Springer,-0.9611
3,4,Sara Evans,-1.66
3,5,Monique Coleman,0.8433
3,5,Mario Lopez,0.8433
3,5,Emmitt Smith,0.8433
3,5,Willa Ford,0.8433
3,5,Joey Lawrence,-0.6325
3,5,Sara Evans,-1.3703
3,5,Jerry Springer,-1.3703
3,6,Mario Lopez,1.3489
3,6,Emmitt Smith,0.4292
3,6,Joey Lawrence,0.1226
3,6,Monique Coleman,-0.1839
3,6,Jerry Springer,-1.7168
3,7,Joey Lawrence,0.7234
3,7,Emmitt Smith,0.7234
3,7,Mario Lopez,0.4822
3,7,Monique Coleman,0.0
3,7,Jerry Springer,-1.929
3,8,Mario Lopez,1.6667
3,8,Joey Lawrence,-0.3333
3,8,Emmitt Smith,-0.3333
3,8,Monique Coleman,-1.0
3,9,Joey Lawrence,0.0
3,9,Mario Lopez,0.0
3,9,Emmitt Smith,0.0
3,10,Mario Lopez,0.0
3,10,Emmitt Smith,0.0
4,1,Joey Fatone,1.6366
4,1,Laila Ali,1.3262
4,1,Ian Ziering,0.7054
4,1,Apolo Anton Ohno,0.7054
4,1,Shandi Finnessey,0.0846
4,1,Paulina Porizkova,0.0846
4,1,Heather Mills,-0.2257
4,1,John Ratzenberger,-0.5361
4,1,Clyde Drexler,-0.8465
4,1,Leeza Gibbons,-1.1569
4,1,Billy Ray Cyrus,-1.7776
4,2,Laila Ali,1.8454
4,2,Apolo Anton Ohno,1.455
4,2,Heather Mills,0.6743
4,2,Joey Fatone,0.6743
4,2,Ian Ziering,-0.1065
4,2,John Ratzenberger,-0.4968
4,2,Paulina Porizkova,-0.4968
4,2,Billy Ray Cyrus,-0.4968
4,2,Leeza Gibbons,-0.4968
4,2,Shandi Finnessey,-0.8872
4,2,Clyde Drexler,-1.668
4,3,Ian Ziering,0.9012
4,3,Heather Mills,0.9012
4,3,Joey Fatone,0.9012
4,3,Leeza Gibbons,0.9012
4,3,Apolo Anton Ohno,0.4915
4,3,Laila Ali,-0.3277
4,3,Shandi Finnessey,-0.3277
4,3,Billy Ray Cyrus,-0.3277
4,3,John Ratzenberger,-0.7373
4,3,Clyde Drexler,-2.3758
4,4,Joey Fatone,1.5718
4,4,Apolo Anton Ohno,1.1154
4,4,Ian Ziering,0.6591
4,4,Heather Mills,0.431
4,4,Laila Ali,-0.0254
4,4,Billy Ray Cyrus,-0.0254
4,4,John Ratzenberger,-1.1661
4,4,Leeza Gibbons,-1.1661
4,4,Clyde Drexler,-1.3943
4,5,Apolo Anton Ohno,1.4729
4,5,Laila Ali,1.1047
4,5,Joey Fatone,0.5523
4,5,Ian Ziering,0.3682
4,5,Heather Mills,-0.1841
4,5,John Ratzenberger,-0.7365
4,5,Billy Ray Cyrus,-0.9206
4,5,Clyde Drexler,-1.657
4,6,Laila Ali,1.1315
4,6,Apolo Anton Ohno,1.1315
4,6,Joey Fatone,0.8269
4,6,Ian Ziering,-0.087
4,6,Heather Mills,-0.3917
4,6,Billy Ray Cyrus,-1.0009
4,6,John Ratzenberger,-1.6102
4,7,Laila Ali,0.9827
4,7,Joey Fatone,0.9827
4,7,Ian Ziering,0.3276
4,7,Apolo Anton Ohno,0.3276
4,7,John Ratzenberger,-0.8517
4,7,Billy Ray Cyrus,-1.7688
4,8,Apolo Anton Ohno,1.1013
4,8,Joey Fatone,0.6777
4,8,Laila Ali,0.3953
4,8,Ian Ziering,-0.4518
4,8,Billy Ray Cyrus,-1.7226
4,9,Laila Ali,0.9045
4,9,Joey Fatone,0.9045
4,9,Apolo Anton Ohno,-0.3015
4,9,Ian Ziering,-1.5076
4,10,Apolo Anton Ohno,1.3363
4,10,Joey Fatone,-0.2673
4,10,Laila Ali,-1.069
5,1,Sabrina Bryan,1.6297
5,1,Helio Castroneves,1.2741
5,1,Jane Seymour,0.9185
5,1,Mel B,0.9185
5,1,Cameron Mathison,-0.1482
5,1,Jennie Garth,-0.1482
5,1,Albert Reed,-0.1482
5,1,Marie Osmond,-0.1482
5,1,Mark Cuban,-0.1482
5,1,Wayne Newton,-0.8593
5,1,Floyd Mayweather Jr.,-1.2148
5,1,Josie Maran,-1.926
5,2,Helio Castroneves,1.6621
5,2,Sabrina Bryan,1.3522
5,2,Marie Osmond,0.7325
5,2,Mel B,0.4226
5,2,Cameron Mathison,-0.1972
5,2,Jane Seymour,-0.1972
5,2,Jennie Garth,-0.1972
5,2,Floyd Mayweather Jr.,-0.1972
5,2,Albert Reed,-0.1972
5,2,Mark Cuban,-1.1269
5,2,Wayne Newton,-2.0565
5,3,Jane Seymour,0.9959
5,3,Sabrina Bryan,0.9959
5,3,Mel B,0.9959
5,3,Jennie Garth,0.6746
5,3,Marie Osmond,0.6746
5,3,Helio Castroneves,0.0321
5,3,Cameron Mathison,-0.2891
5,3,Floyd Mayweather Jr.,-0.9316
5,3,Mark Cuban,-1.2529
5,3,Wayne Newton,-1.8954
5,4,Sabrina Bryan,1.8091
5,4,Cameron Mathison,0.4523
5,4,Jennie Garth,0.4523
5,4,Helio Castroneves,0.4523
5,4,Jane Seymour,0.0
5,4,Mel B,0.0
5,4,Marie Osmond,0.0
5,4,Floyd Mayweather Jr.,-1.3568
5,4,Mark Cuban,-1.8091
5,5,Mel B,1.4714
5,5,Sabrina Bryan,1.1147
5,5,Cameron Mathison,0.4013
5,5,Jane Seymour,0.4013
5,5,Jennie Garth,0.0446
5,5,Helio Castroneves,-0.6688
5,5,Marie Osmond,-1.3822
5,5,Mark Cuban,-1.3822
5,6,Mel B,1.6465
5,6,Helio Castroneves,0.8781
5,6,Jennie Garth,0.4939
5,6,Cameron Mathison,-0.2744
5,6,Sabrina Bryan,-0.2744
5,6,Marie Osmond,-1.0428
5,6,Jane Seymour,-1.4269
5,7,Mel B,1.5492
5,7,Jennie Garth,0.7746
5,7,Helio Castroneves,0.0
5,7,Marie Osmond,0.0
5,7,Cameron Mathison,-0.7746
5,7,Jane Seymour,-1.5492
5,8,Helio Castroneves,1.3489
5,8,Mel B,1.0423
5,8,Cameron Mathison,-0.4905
5,8,Jennie Garth,-0.7971
5,8,Marie Osmond,-1.1037
5,9,Helio Castroneves,0.9045
5,9,Mel B,0.9045
5,9,Jennie Garth,-0.3015
5,9,Marie Osmond,-1.5076
5,10,Mel B,0.7743
5,10,Helio Castroneves,0.6377
5,10,Marie Osmond,-1.412
6,1,Kristi Yamaguchi,1.8245
6,1,Priscilla Presley,1.0136
6,1,Mario,1.0136
6,1,Marlee Matlin,0.473
6,1,Jason Taylor,0.473
6,1,Cristian de la Fuente,0.2027
6,1,Shannon Elizabeth,0.2027
6,1,Steve Guttenberg,-0.6082
6,1,Marissa Jaret Winokur,-0.6082
6,1,Penn Jillette,-1.1488
6,1,Monica Seles,-1.419
6,1,Adam Carolla,-1.419
6,2,Jason Taylor,1.3854
6,2,Kristi Yamaguchi,1.3854
6,2,Mario,1.1372
6,2,Marlee Matlin,0.641
6,2,Shannon Elizabeth,0.641
6,2,Priscilla Presley,-0.1034
6,2,Marissa Jaret Winokur,-0.1034
6,2,Cristian de la Fuente,-0.3515
6,2,Adam Carolla,-0.5996
6,2,Penn Jillette,-1.0959
6,2,Steve Guttenberg,-1.344
6,2,Monica Seles,-1.5921
6,3,Kristi Yamaguchi,1.6922
6,3,Priscilla Presley,1.2893
6,3,Cristian de la Fuente,0.8864
6,3,Shannon Elizabeth,0.4835
6,3,Jason Taylor,0.0806
6,3,Steve Guttenberg,-0.7252
6,3,Marlee Matlin,-0.7252
6,3,Adam Carolla,-0.7252
6,3,Mario,-0.7252
6,3,Marissa Jaret Winokur,-1.5311
6,4,Jason Taylor,1.2649
6,4,Kristi Yamaguchi,1.2649
6,4,Shannon Elizabeth,0.9487
6,4,Cristian de la Fuente,0.3162
6,4,Marlee Matlin,-0.3162
6,4,Marissa Jaret Winokur,-0.3162
6,4,Mario,-0.3162
6,4,Priscilla Presley,-0.9487
6,4,Adam Carolla,-1.8974
6,5,Kristi Yamaguchi,1.7008
6,5,Jason Taylor,0.9449
6,5,Mario,0.9449
6,5,Marissa Jaret Winokur,-0.189
6,5,Cristian de la Fuente,-0.5669
6,5,Shannon Elizabeth,-0.5669
6,5,Marlee Matlin,-0.9449
6,5,Priscilla Presley,-1.3229
6,6,Kristi Yamaguchi,1.5513
6,6,Mario,0.8273
6,6,Cristian de la Fuente,0.4654
6,6,Marissa Jaret Winokur,0.1034
6,6,Shannon Elizabeth,-0.6205
6,6,Jason Taylor,-0.6205
6,6,Marlee Matlin,-1.7064
6,7,Jason Taylor,1.2185
6,7,Kristi Yamaguchi,0.8704
6,7,Marissa Jaret Winokur,0.1741
6,7,Shannon Elizabeth,-0.1741
6,7,Mario,-0.1741
6,7,Cristian de la Fuente,-1.9149
6,8,Cristian de la Fuente,1.4897
6,8,Kristi Yamaguchi,0.6621
6,8,Mario,-0.1655
6,8,Jason Taylor,-0.5793
6,8,Marissa Jaret Winokur,-1.4069
6,9,Kristi Yamaguchi,1.069
6,9,Cristian de la Fuente,0.5345
6,9,Jason Taylor,0.0
6,9,Marissa Jaret Winokur,-1.6036
6,10,Kristi Yamaguchi,1.1112
6,10,Jason Taylor,0.202
6,10,Cristian de la Fuente,-1.3132
7,1,Brooke Burke,1.6796
7,1,Toni Braxton,1.0229
7,1,Warren Sapp,0.6946
7,1,Lance Bass,0.6946
7,1,Misty May-Treanor,0.5304
7,1,Cody Linley,0.3662
7,1,Maurice Greene,0.0379
7,1,Ted McGinley,-0.2905
7,1,Susan Lucci,-0.2905
7,1,Kim Kardashian,-0.2905
7,1,Rocco DiSpirito,-0.6188
7,1,Cloris Leachman,-1.1113
7,1,Jeffrey Ross,-2.4248
7,2,Warren Sapp,1.3308
7,2,Brooke Burke,1.3308
7,2,Toni Braxton,0.9904
7,2,Susan Lucci,0.3095
7,2,Cody Linley,0.3095
7,2,Misty May-Treanor,0.3095
7,2,Lance Bass,-0.0309
7,2,Maurice Greene,-0.3714
7,2,Kim Kardashian,-1.0523
7,2,Rocco DiSpirito,-1.3927
7,2,Cloris Leachman,-1.7332
7,3,Brooke Burke,1.8531
7,3,Warren Sapp,0.9091
7,3,Maurice Greene,0.5944
7,3,Toni Braxton,-0.035
7,3,Lance Bass,-0.035
7,3,Susan Lucci,-0.3496
7,3,Cody Linley,-0.3496
7,3,Rocco DiSpirito,-0.6643
7,3,Cloris Leachman,-1.923
7,4,Lance Bass,1.4033
7,4,Brooke Burke,1.4033
7,4,Susan Lucci,0.5885
7,4,Cody Linley,0.1811
7,4,Cloris Leachman,-0.2263
7,4,Warren Sapp,-0.2263
7,4,Toni Braxton,-0.2263
7,4,Maurice Greene,-1.0412
7,4,Rocco DiSpirito,-1.856
7,5,Brooke Burke,1.5018
7,5,Cody Linley,1.1771
7,5,Maurice Greene,0.8524
7,5,Warren Sapp,0.2029
7,5,Susan Lucci,-0.7712
7,5,Toni Braxton,-0.7712
7,5,Cloris Leachman,-1.0959
7,5,Lance Bass,-1.0959
7,6,Lance Bass,1.1137
7,6,Brooke Burke,0.8449
7,6,Warren Sapp,0.5761
7,6,Susan Lucci,0.0384
7,6,Cody Linley,0.0384
7,6,Maurice Greene,-0.4993
7,6,Cloris Leachman,-2.1123
7,7,Brooke Burke,1.9149
7,7,Maurice Greene,0.1741
7,7,Lance Bass,0.1741
7,7,Susan Lucci,-0.1741
7,7,Cody Linley,-0.8704
7,7,Warren Sapp,-1.2185
7,8,Brooke Burke,1.3484
7,8,Warren Sapp,1.0113
7,8,Lance Bass,-0.3371
7,8,Cody Linley,-1.0113
7,8,Maurice Greene,-1.0113
7,9,Lance Bass,1.6524
7,9,Warren Sapp,-0.306
7,9,Brooke Burke,-0.306
7,9,Cody Linley,-1.0404
7,10,Brooke Burke,1.4142
7,10,Warren Sapp,-0.7071
7,10,Lance Bass,-0.7071
8,1,Gilles Marini,1.613
8,1,Shawn Johnson,1.3091
8,1,Melissa Rycroft,1.3091
8,1,Lil' Kim,0.7013
8,1,Chuck Wicks,0.3974
8,1,David Alan Grier,0.0935
8,1,Denise Richards,-0.2104
8,1,Holly Madison,-0.2104
8,1,Belinda Carlisle,-0.5143
8,1,Steve-O,-0.5143
8,1,Lawrence Taylor,-0.8182
8,1,Ty Murray,-1.4259
8,1,Steve Wozniak,-1.7298
8,2,Gilles Marini,1.8236
8,2,Melissa Rycroft,1.5479
8,2,Shawn Johnson,0.9966
8,2,Lil' Kim,0.721
8,2,Denise Richards,0.1696
8,2,Lawrence Taylor,-0.106
8,2,Ty Murray,-0.106
8,2,Chuck Wicks,-0.106
8,2,Belinda Carlisle,-0.6573
8,2,Holly Madison,-0.6573
8,2,David Alan Grier,-0.933
8,2,Steve Wozniak,-0.933
8,2,Steve-O,-1.76
8,3,Gilles Marini,1.0964
8,3,Shawn Johnson,1.0964
8,3,Melissa Rycroft,1.0964
8,3,Lil' Kim,0.7205
8,3,David Alan Grier,0.5326
8,3,Ty Murray,0.3446
8,3,Chuck Wicks,0.3446
8,3,Lawrence Taylor,-0.2193
8,3,Holly Madison,-0.7832
8,3,Denise Richards,-0.9711
8,3,Steve-O,-1.1591
8,3,Steve Wozniak,-2.0989
8,4,Gilles Marini,1.4182
8,4,Melissa Rycroft,1.241
8,4,Lil' Kim,0.8864
8,4,Ty Murray,0.5318
8,4,Shawn Johnson,0.5318
8,4,David Alan Grier,0.0
8,4,Chuck Wicks,0.0
8,4,Lawrence Taylor,-0.5318
8,4,Holly Madison,-1.0637
8,4,Steve-O,-1.241
8,4,Steve Wozniak,-1.7728
8,5,Gilles Marini,1.7351
8,5,Shawn Johnson,0.8165
8,5,Lil' Kim,0.8165
8,5,Melissa Rycroft,0.5103
8,5,Chuck Wicks,-0.1021
8,5,David Alan Grier,-0.4082
8,5,Ty Murray,-0.7144
8,5,Lawrence Taylor,-1.0206
8,5,Steve-O,-1.633
8,6,Lil' Kim,1.1628
8,6,Melissa Rycroft,0.918
8,6,Gilles Marini,0.6732
8,6,Shawn Johnson,0.6732
8,6,Chuck Wicks,-0.0612
8,6,Lawrence Taylor,-0.306
8,6,Ty Murray,-1.2852
8,6,Steve-O,-1.7748
8,7,Melissa Rycroft,1.1966
8,7,Shawn Johnson,0.7977
8,7,Gilles Marini,0.3989
8,7,Chuck Wicks,0.3989
8,7,Lil' Kim,0.0
8,7,Ty Murray,-0.7977
8,7,Lawrence Taylor,-1.9943
8,8,Lil' Kim,1.2443
8,8,Gilles Marini,0.9333
8,8,Ty Murray,0.0
8,8,Shawn Johnson,0.0
8,8,Chuck Wicks,-0.3111
8,8,Melissa Rycroft,-1.8665
8,9,Melissa Rycroft,0.8825
8,9,Gilles Marini,0.6374
8,9,Shawn Johnson,0.6374
8,9,Lil' Kim,-0.3432
8,9,Ty Murray,-1.8141
8,10,Gilles Marini,1.2145
8,10,Shawn Johnson,0.2892
8,10,Melissa Rycroft,0.0578
8,10,Ty Murray,-1.5615
8,11,Shawn Johnson,1.3363
8,11,Gilles Marini,-0.2673
8,11,Melissa Rycroft,-1.069
9,1,Joanna Krupa,1.672
9,1,Aaron Carter,1.2843
9,1,Mya,1.0905
9,1,Kelly Osbourne,1.0904
9,1,Donny Osmond,0.8966
9,1,Mark Dacascos,0.7027
9,1,Natalie Coughlin,0.315
9,1,Louie Vito,0.315
9,1,Melissa Joan Hart,-0.2665
9,1,Debi Mazar,-0.6543
9,1,Chuck Liddell,-0.6543
9,1,Kathy Ireland,-1.042
9,1,Tom DeLay,-1.042
9,1,Ashley Hamiliton,-1.2358
9,1,Michael Irvin,-1.2358
9,1,Macy Gray,-1.2358
9,2,Aaron Carter,2.0161
9,2,Mya,2.0161
9,2,Donny Osmond,1.344
9,2,Debi Mazar,0.0
9,2,Mark Dacascos,0.0
9,2,Natalie Coughlin,0.0
9,2,Michael Irvin,-0.336
9,2,Joanna Krupa,-0.336
9,2,Melissa Joan Hart,-0.672
9,2,Chuck Liddell,-0.672
9,2,Louie Vito,-0.672
9,2,Kelly Osbourne,-0.672
9,2,Kathy Ireland,-1.008
9,2,Tom DeLay,-1.008
9,3,Mya,1.9242
9,3,Natalie Coughlin,1.6552
9,3,Joanna Krupa,0.8483
9,3,Aaron Carter,0.3104
9,3,Donny Osmond,0.3104
9,3,Louie Vito,0.0414
9,3,Kelly Osbourne,0.0414
9,3,Melissa Joan Hart,-0.2276
9,3,Mark Dacascos,-0.4966
9,3,Debi Mazar,-0.7655
9,3,Chuck Liddell,-0.7655
9,3,Tom DeLay,-1.3035
9,3,Michael Irvin,-1.5725
9,4,Melissa Joan Hart,1.3732
9,4,Mya,1.3732
9,4,Joanna Krupa,0.9155
9,4,Natalie Coughlin,0.4577
9,4,Donny Osmond,0.4577
9,4,Kelly Osbourne,0.2289
9,4,Mark Dacascos,-0.0
9,4,Aaron Carter,-0.9155
9,4,Chuck Liddell,-1.1443
9,4,Louie Vito,-1.3732
9,4,Michael Irvin,-1.3732
9,5,Donny Osmond,2.0357
9,5,Mya,1.1875
9,5,Mark Dacascos,0.7634
9,5,Joanna Krupa,-0.0848
9,5,Aaron Carter,-0.0848
9,5,Kelly Osbourne,-0.0848
9,5,Melissa Joan Hart,-0.5089
9,5,Natalie Coughlin,-0.933
9,5,Louie Vito,-0.933
9,5,Michael Irvin,-1.3571
9,6,Joanna Krupa,1.476
9,6,Mya,0.8534
9,6,Aaron Carter,0.8533
9,6,Mark Dacascos,0.6458
9,6,Donny Osmond,0.4382
9,6,Kelly Osbourne,-0.8072
9,6,Melissa Joan Hart,-1.0148
9,6,Louie Vito,-1.0148
9,6,Michael Irvin,-1.4299
9,7,Joanna Krupa,1.2796
9,7,Aaron Carter,0.7527
9,7,Donny Osmond,0.4893
9,7,Kelly Osbourne,0.4893
9,7,Mya,-0.3011
9,7,Michael Irvin,-0.828
9,7,Mark Dacascos,-1.8818
9,8,Mya,1.9513
9,8,Joanna Krupa,-0.1183
9,8,Kelly Osbourne,-0.4139
9,8,Aaron Carter,-0.7096
9,8,Donny Osmond,-0.7096
9,9,Mya,1.4757
9,9,Joanna Krupa,0.2109
9,9,Kelly Osbourne,-0.4217
9,9,Donny Osmond,-1.2649
9,10,Donny Osmond,0.8998
9,10,Mya,0.4949
9,10,Kelly Osbourne,-1.3948
10,1,Nicole Scherzinger,1.8638
10,1,Evan Lysacek,1.2425
10,1,Pamela Anderson,0.6213
10,1,Erin Andrews,0.6213
10,1,Jake Pavelka,0.3106
10,1,Shannen Doherty,-0.3106
10,1,Niecy Nash,-0.3106
10,1,Chad Ochocinco,-0.3106
10,1,Kate Gosselin,-0.9319
10,1,Aiden Turner,-1.2425
10,1,Buzz Aldrin,-1.5532
10,2,Nicole Scherzinger,1.8762
10,2,Evan Lysacek,0.9381
10,2,Erin Andrews,0.7036
10,2,Pamela Anderson,0.469
10,2,Niecy Nash,0.2345
10,2,Shannen Doherty,0.0
10,2,Jake Pavelka,0.0
10,2,Aiden Turner,-0.2345
10,2,Chad Ochocinco,-0.9381
10,2,Kate Gosselin,-1.1726
10,2,Buzz Aldrin,-1.8762
10,3,Evan Lysacek,1.5803
10,3,Nicole Scherzinger,0.7486
10,3,Erin Andrews,0.7486
10,3,Niecy Nash,0.1941
10,3,Pamela Anderson,0.1941
10,3,Jake Pavelka,0.1941
10,3,Aiden Turner,-0.0832
10,3,Chad Ochocinco,-0.0832
10,3,Kate Gosselin,-1.4694
10,3,Buzz Aldrin,-2.0239
10,4,Evan Lysacek,1.5601
10,4,Nicole Scherzinger,1.2706
10,4,Pamela Anderson,0.8363
10,4,Chad Ochocinco,0.4021
10,4,Erin Andrews,-0.3217
10,4,Jake Pavelka,-0.4664
10,4,Niecy Nash,-0.7559
10,4,Aiden Turner,-1.1901
10,4,Kate Gosselin,-1.3349
10,5,Nicole Scherzinger,1.6708
10,5,Evan Lysacek,1.2177
10,5,Jake Pavelka,0.3115
10,5,Erin Andrews,0.085
10,5,Pamela Anderson,-0.1416
10,5,Niecy Nash,-0.8212
10,5,Chad Ochocinco,-0.8212
10,5,Kate Gosselin,-1.5009
10,6,Nicole Scherzinger,1.6025
10,6,Erin Andrews,1.0808
10,6,Chad Ochocinco,0.2981
10,6,Pamela Anderson,0.0372
10,6,Evan Lysacek,-0.7453
10,6,Niecy Nash,-1.0063
10,6,Jake Pavelka,-1.2671
10,7,Evan Lysacek,1.2229
10,7,Nicole Scherzinger,1.2229
10,7,Chad Ochocinco,0.0941
10,7,Pamela Anderson,-0.4704
10,7,Erin Andrews,-0.4704
10,7,Niecy Nash,-1.5992
10,8,Nicole Scherzinger,1.4355
10,8,Evan Lysacek,0.4102
10,8,Erin Andrews,0.4102
10,8,Chad Ochocinco,-0.957
10,8,Niecy Nash,-1.2988
10,9,Evan Lysacek,0.8704
10,9,Nicole Scherzinger,0.8704
10,9,Erin Andrews,-0.1741
10,9,Chad Ochocinco,-1.5667
10,10,Nicole Scherzinger,1.4123
10,10,Erin Andrews,-0.642
10,10,Evan Lysacek,-0.7703
11,1,Jennifer Grey,1.5755
11,1,Kyle Massey,1.2656
11,1,Brandy,1.2656
11,1,Rick Fox,0.9557
11,1,Kurt Warner,0.0258
11,1,Audrina Patridge,0.0258
11,1,Florence Henderson,-0.2841
11,1,Bristol Palin,-0.2841
11,1,Michael Bolton,-0.904
11,1,David Hasselhoff,-1.2139
11,1,Margaret Cho,-1.2139
11,1,The Situation,-1.2139
11,2,Jennifer Grey,1.2423
11,2,Audrina Patridge,0.9245
11,2,Kyle Massey,0.6067
11,2,Bristol Palin,0.6067
11,2,Rick Fox,0.2889
11,2,Kurt Warner,0.2889
11,2,Brandy,0.2889
11,2,Florence Henderson,-0.3467
11,2,Margaret Cho,-0.6645
11,2,The Situation,-0.6645
11,2,Michael Bolton,-2.5714
11,3,Audrina Patridge,1.555
11,3,Jennifer Grey,0.7576
11,3,Rick Fox,0.7576
11,3,Brandy,0.7576
11,3,Kyle Massey,0.3589
11,3,Kurt Warner,0.3589
11,3,Florence Henderson,-0.8373
11,3,The Situation,-0.8373
11,3,Bristol Palin,-1.2361
11,3,Margaret Cho,-1.6348
11,4,Jennifer Grey,1.9458
11,4,Brandy,0.9862
11,4,Audrina Patridge,0.7463
11,4,Kyle Massey,0.0267
11,4,Rick Fox,-0.0933
11,4,Florence Henderson,-0.5731
11,4,Kurt Warner,-0.693
11,4,Bristol Palin,-0.9329
11,4,The Situation,-1.4127
11,5,Brandy,1.5584
11,5,Jennifer Grey,0.825
11,5,Rick Fox,0.4583
11,5,Kurt Warner,0.4583
11,5,Audrina Patridge,0.0917
11,5,Florence Henderson,-0.6417
11,5,Kyle Massey,-1.0084
11,5,Bristol Palin,-1.7417
11,6,Brandy,1.6388
11,6,Audrina Patridge,0.6191
11,6,Kyle Massey,0.1093
11,6,Rick Fox,0.1093
11,6,Jennifer Grey,-0.1456
11,6,Bristol Palin,-0.4006
11,6,Kurt Warner,-1.9301
11,7,Jennifer Grey,1.1946
11,7,Brandy,1.1946
11,7,Kurt Warner,0.1707
11,7,Rick Fox,-0.1707
11,7,Kyle Massey,-0.8533
11,7,Bristol Palin,-1.536
11,8,Jennifer Grey,0.8856
11,8,Brandy,0.8856
11,8,Kyle Massey,0.6642
11,8,Kurt Warner,-1.107
11,8,Bristol Palin,-1.3284
11,9,Jennifer Grey,1.1767
11,9,Kyle Massey,0.3922
11,9,Brandy,0.0
11,9,Bristol Palin,-1.5689
11,10,Jennifer Grey,1.3074
11,10,Kyle Massey,-0.1868
11,10,Bristol Palin,-1.1206
12,1,Ralph Macchio,1.5982
12,1,Kirstie Alley,1.2898
12,1,Chelsea Kane,0.6729
12,1,Hines Ward,0.6729
12,1,Chris Jericho,0.0561
12,1,Romeo,0.0561
12,1,Petra Nemcova,-0.2523
12,1,Kendra Wilkinson,-0.2523
12,1,Sugar Ray Leonard,-0.5608
