season,week,eliminated,num_survivors,survivors,rule_type
5,1,Josie Maran,11,Cameron Mathison; Jane Seymour; Sabrina Bryan; Jennie Garth; Floyd Mayweather Jr.; Albert Reed; Helio Castroneves; Mel B; Wayne Newton; Marie Osmond; Mark Cuban,PERCENTAGE
5,2,Albert Reed,10,Cameron Mathison; Jane Seymour; Sabrina Bryan; Jennie Garth; Floyd Mayweather Jr.; Helio Castroneves; Mel B; Wayne Newton; Marie Osmond; Mark Cuban,PERCENTAGE
5,3,Wayne Newton,9,Cameron Mathison; Jane Seymour; Sabrina Bryan; Jennie Garth; Floyd Mayweather Jr.; Helio Castroneves; Mel B; Marie Osmond; Mark Cuban,PERCENTAGE
5,4,Floyd Mayweather Jr.,8,Cameron Mathison; Jane Seymour; Sabrina Bryan; Jennie Garth; Helio Castroneves; Mel B; Marie Osmond; Mark Cuban,PERCENTAGE
5,5,Mark Cuban,7,Cameron Mathison; Jane Seymour; Sabrina Bryan; Jennie Garth; Helio Castroneves; Mel B; Marie Osmond,PERCENTAGE
5,6,Sabrina Bryan,6,Cameron Mathison; Jane Seymour; Jennie Garth; Helio Castroneves; Mel B; Marie Osmond,PERCENTAGE
5,7,Jane Seymour,5,Cameron Mathison; Jennie Garth; Helio Castroneves; Mel B; Marie Osmond,PERCENTAGE
5,8,Cameron Mathison,4,Jennie Garth; Helio Castroneves; Mel B; Marie Osmond,PERCENTAGE
5,9,Jennie Garth,3,Helio Castroneves; Mel B; Marie Osmond,PERCENTAGE
6,2,Monica Seles,11,Cristian de la Fuente; Steve Guttenberg; Priscilla Presley; Marlee Matlin; Shannon Elizabeth; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Penn Jillette; Adam Carolla; Mario,PERCENTAGE
6,2,Penn Jillette,11,Cristian de la Fuente; Steve Guttenberg; Priscilla Presley; Marlee Matlin; Shannon Elizabeth; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Monica Seles; Adam Carolla; Mario,PERCENTAGE
6,3,Steve Guttenberg,9,Cristian de la Fuente; Priscilla Presley; Marlee Matlin; Shannon Elizabeth; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Adam Carolla; Mario,PERCENTAGE
6,4,Adam Carolla,8,Cristian de la Fuente; Priscilla Presley; Marlee Matlin; Shannon Elizabeth; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Mario,PERCENTAGE
6,5,Priscilla Presley,7,Cristian de la Fuente; Marlee Matlin; Shannon Elizabeth; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Mario,PERCENTAGE
6,6,Marlee Matlin,6,Cristian de la Fuente; Shannon Elizabeth; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Mario,PERCENTAGE
6,7,Shannon Elizabeth,5,Cristian de la Fuente; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi; Mario,PERCENTAGE
6,8,Mario,4,Cristian de la Fuente; Marissa Jaret Winokur; Jason Taylor; Kristi Yamaguchi,PERCENTAGE
6,9,Marissa Jaret Winokur,3,Cristian de la Fuente; Jason Taylor; Kristi Yamaguchi,PERCENTAGE
7,1,Ted McGinley,12,Cloris Leachman; Susan Lucci; Cody Linley; Misty May-Treanor; Maurice Greene; Warren Sapp; Jeffrey Ross; Toni Braxton; Lance Bass; Kim Kardashian; Rocco DiSpirito; Brooke Burke,PERCENTAGE
7,1,Jeffrey Ross,12,Ted McGinley; Cloris Leachman; Susan Lucci; Cody Linley; Misty May-Treanor; Maurice Greene; Warren Sapp; Toni Braxton; Lance Bass; Kim Kardashian; Rocco DiSpirito; Brooke Burke,PERCENTAGE
7,2,Kim Kardashian,10,Cloris Leachman; Susan Lucci; Cody Linley; Misty May-Treanor; Maurice Greene; Warren Sapp; Toni Braxton; Lance Bass; Rocco DiSpirito; Brooke Burke,PERCENTAGE
7,4,Rocco DiSpirito,8,Cloris Leachman; Susan Lucci; Cody Linley; Maurice Greene; Warren Sapp; Toni Braxton; Lance Bass; Brooke Burke,PERCENTAGE
7,5,Toni Braxton,7,Cloris Leachman; Susan Lucci; Cody Linley; Maurice Greene; Warren Sapp; Lance Bass; Brooke Burke,PERCENTAGE
7,6,Cloris Leachman,6,Susan Lucci; Cody Linley; Maurice Greene; Warren Sapp; Lance Bass; Brooke Burke,PERCENTAGE
7,7,Susan Lucci,5,Cody Linley; Maurice Greene; Warren Sapp; Lance Bass; Brooke Burke,PERCENTAGE
7,8,Maurice Greene,4,Cody Linley; Warren Sapp; Lance Bass; Brooke Burke,PERCENTAGE
7,9,Cody Linley,3,Warren Sapp; Lance Bass; Brooke Burke,PERCENTAGE
8,2,Belinda Carlisle,12,Gilles Marini; Denise Richards; David Alan Grier; Lawrence Taylor; Ty Murray; Shawn Johnson; Steve Wozniak; Chuck Wicks; Lil' Kim; Steve-O; Holly Madison; Melissa Rycroft,PERCENTAGE
8,3,Denise Richards,11,Gilles Marini; David Alan Grier; Lawrence Taylor; Ty Murray; Shawn Johnson; Steve Wozniak; Chuck Wicks; Lil' Kim; Steve-O; Holly Madison; Melissa Rycroft,PERCENTAGE
8,4,Steve Wozniak,10,Gilles Marini; David Alan Grier; Lawrence Taylor; Ty Murray; Shawn Johnson; Chuck Wicks; Lil' Kim; Steve-O; Holly Madison; Melissa Rycroft,PERCENTAGE
8,4,Holly Madison,10,Gilles Marini; David Alan Grier; Lawrence Taylor; Ty Murray; Shawn Johnson; Steve Wozniak; Chuck Wicks; Lil' Kim; Steve-O; Melissa Rycroft,PERCENTAGE
8,5,David Alan Grier,8,Gilles Marini; Lawrence Taylor; Ty Murray; Shawn Johnson; Chuck Wicks; Lil' Kim; Steve-O; Melissa Rycroft,PERCENTAGE
8,6,Steve-O,7,Gilles Marini; Lawrence Taylor; Ty Murray; Shawn Johnson; Chuck Wicks; Lil' Kim; Melissa Rycroft,PERCENTAGE
8,7,Lawrence Taylor,6,Gilles Marini; Ty Murray; Shawn Johnson; Chuck Wicks; Lil' Kim; Melissa Rycroft,PERCENTAGE
8,8,Chuck Wicks,5,Gilles Marini; Ty Murray; Shawn Johnson; Lil' Kim; Melissa Rycroft,PERCENTAGE
8,9,Lil' Kim,4,Gilles Marini; Ty Murray; Shawn Johnson; Melissa Rycroft,PERCENTAGE
8,10,Ty Murray,3,Gilles Marini; Shawn Johnson; Melissa Rycroft,PERCENTAGE
9,1,Ashley Hamiliton,15,Debi Mazar; Melissa Joan Hart; Mark Dacascos; Chuck Liddell; Natalie Coughlin; Louie Vito; Michael Irvin; Joanna Krupa; Kathy Ireland; Tom DeLay; Macy Gray; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,1,Macy Gray,15,Ashley Hamiliton; Debi Mazar; Melissa Joan Hart; Mark Dacascos; Chuck Liddell; Natalie Coughlin; Louie Vito; Michael Irvin; Joanna Krupa; Kathy Ireland; Tom DeLay; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,2,Kathy Ireland,13,Debi Mazar; Melissa Joan Hart; Mark Dacascos; Chuck Liddell; Natalie Coughlin; Louie Vito; Michael Irvin; Joanna Krupa; Tom DeLay; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,3,Debi Mazar,12,Melissa Joan Hart; Mark Dacascos; Chuck Liddell; Natalie Coughlin; Louie Vito; Michael Irvin; Joanna Krupa; Tom DeLay; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,4,Chuck Liddell,10,Melissa Joan Hart; Mark Dacascos; Natalie Coughlin; Louie Vito; Michael Irvin; Joanna Krupa; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,5,Natalie Coughlin,9,Melissa Joan Hart; Mark Dacascos; Louie Vito; Michael Irvin; Joanna Krupa; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,6,Melissa Joan Hart,8,Mark Dacascos; Louie Vito; Michael Irvin; Joanna Krupa; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,6,Louie Vito,8,Melissa Joan Hart; Mark Dacascos; Michael Irvin; Joanna Krupa; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,7,Mark Dacascos,6,Michael Irvin; Joanna Krupa; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,7,Michael Irvin,6,Mark Dacascos; Joanna Krupa; Aaron Carter; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,8,Aaron Carter,4,Joanna Krupa; Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
9,9,Joanna Krupa,3,Mya; Donny Osmond; Kelly Osbourne,PERCENTAGE
10,2,Shannen Doherty,10,Aiden Turner; Niecy Nash; Buzz Aldrin; Chad Ochocinco; Evan Lysacek; Pamela Anderson; Nicole Scherzinger; Erin Andrews; Kate Gosselin; Jake Pavelka,PERCENTAGE
10,3,Buzz Aldrin,9,Aiden Turner; Niecy Nash; Chad Ochocinco; Evan Lysacek; Pamela Anderson; Nicole Scherzinger; Erin Andrews; Kate Gosselin; Jake Pavelka,PERCENTAGE
10,4,Aiden Turner,8,Niecy Nash; Chad Ochocinco; Evan Lysacek; Pamela Anderson; Nicole Scherzinger; Erin Andrews; Kate Gosselin; Jake Pavelka,PERCENTAGE
10,5,Kate Gosselin,7,Niecy Nash; Chad Ochocinco; Evan Lysacek; Pamela Anderson; Nicole Scherzinger; Erin Andrews; Jake Pavelka,PERCENTAGE
10,6,Jake Pavelka,6,Niecy Nash; Chad Ochocinco; Evan Lysacek; Pamela Anderson; Nicole Scherzinger; Erin Andrews,PERCENTAGE
10,7,Pamela Anderson,5,Niecy Nash; Chad Ochocinco; Evan Lysacek; Nicole Scherzinger; Erin Andrews,PERCENTAGE
10,8,Niecy Nash,4,Chad Ochocinco; Evan Lysacek; Nicole Scherzinger; Erin Andrews,PERCENTAGE
10,9,Chad Ochocinco,3,Evan Lysacek; Nicole Scherzinger; Erin Andrews,PERCENTAGE
11,1,David Hasselhoff,11,Florence Henderson; Kyle Massey; Jennifer Grey; Rick Fox; Kurt Warner; Margaret Cho; Michael Bolton; Brandy; The Situation; Audrina Patridge; Bristol Palin,PERCENTAGE
11,2,Michael Bolton,10,Florence Henderson; Kyle Massey; Jennifer Grey; Rick Fox; Kurt Warner; Margaret Cho; Brandy; The Situation; Audrina Patridge; Bristol Palin,PERCENTAGE
11,3,Margaret Cho,9,Florence Henderson; Kyle Massey; Jennifer Grey; Rick Fox; Kurt Warner; Brandy; The Situation; Audrina Patridge; Bristol Palin,PERCENTAGE
11,4,The Situation,8,Florence Henderson; Kyle Massey; Jennifer Grey; Rick Fox; Kurt Warner; Brandy; Audrina Patridge; Bristol Palin,PERCENTAGE
11,5,Florence Henderson,7,Kyle Massey; Jennifer Grey; Rick Fox; Kurt Warner; Brandy; Audrina Patridge; Bristol Palin,PERCENTAGE
11,6,Audrina Patridge,6,Kyle Massey; Jennifer Grey; Rick Fox; Kurt Warner; Brandy; Bristol Palin,PERCENTAGE
11,7,Rick Fox,5,Kyle Massey; Jennifer Grey; Kurt Warner; Brandy; Bristol Palin,PERCENTAGE
11,8,Kurt Warner,4,Kyle Massey; Jennifer Grey; Brandy; Bristol Palin,PERCENTAGE
11,9,Brandy,3,Kyle Massey; Jennifer Grey; Bristol Palin,PERCENTAGE
12,2,Mike Catherwood,10,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward; Sugar Ray Leonard; Chris Jericho; Petra Nemcova; Romeo; Wendy Williams; Kendra Wilkinson,PERCENTAGE
12,3,Wendy Williams,9,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward; Sugar Ray Leonard; Chris Jericho; Petra Nemcova; Romeo; Kendra Wilkinson,PERCENTAGE
12,4,Sugar Ray Leonard,8,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward; Chris Jericho; Petra Nemcova; Romeo; Kendra Wilkinson,PERCENTAGE
12,5,Petra Nemcova,7,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward; Chris Jericho; Romeo; Kendra Wilkinson,PERCENTAGE
12,6,Chris Jericho,6,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward; Romeo; Kendra Wilkinson,PERCENTAGE
12,7,Kendra Wilkinson,5,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward; Romeo,PERCENTAGE
12,8,Romeo,4,Ralph Macchio; Chelsea Kane; Kirstie Alley; Hines Ward,PERCENTAGE
12,9,Ralph Macchio,3,Chelsea Kane; Kirstie Alley; Hines Ward,PERCENTAGE
13,1,Metta World Peace (Ron),11,Elisabetta Canalis; David Arquette; Ricki Lake; J.R. Martinez; Hope Solo; Chynna Phillips; Kristin Cavallari; Carson Kressley; Chaz Bono; Nancy Grace; Rob Kardashian,PERCENTAGE
13,2,Elisabetta Canalis,10,David Arquette; Ricki Lake; J.R. Martinez; Hope Solo; Chynna Phillips; Kristin Cavallari; Carson Kressley; Chaz Bono; Nancy Grace; Rob Kardashian,PERCENTAGE
13,3,Kristin Cavallari,9,David Arquette; Ricki Lake; J.R. Martinez; Hope Solo; Chynna Phillips; Carson Kressley; Chaz Bono; Nancy Grace; Rob Kardashian,PERCENTAGE
13,4,Chynna Phillips,8,David Arquette; Ricki Lake; J.R. Martinez; Hope Solo; Carson Kressley; Chaz Bono; Nancy Grace; Rob Kardashian,PERCENTAGE
13,5,Carson Kressley,7,David Arquette; Ricki Lake; J.R. Martinez; Hope Solo; Chaz Bono; Nancy Grace; Rob Kardashian,PERCENTAGE
13,6,Chaz Bono,6,David Arquette; Ricki Lake; J.R. Martinez; Hope Solo; Nancy Grace; Rob Kardashian,PERCENTAGE
13,7,David Arquette,5,Ricki Lake; J.R. Martinez; Hope Solo; Nancy Grace; Rob Kardashian,PERCENTAGE
13,8,Nancy Grace,4,Ricki Lake; J.R. Martinez; Hope Solo; Rob Kardashian,PERCENTAGE
13,9,Hope Solo,3,Ricki Lake; J.R. Martinez; Rob Kardashian,PERCENTAGE
14,2,Martina Navratilova,11,William Levy; Jack Wagner; Sherri Sheperd; Jaleel White; Roshon Fegan; Melissa Gilbert; Donald Driver; Gavin DeGraw; Gladys Knight; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,3,Jack Wagner,10,William Levy; Sherri Sheperd; Jaleel White; Roshon Fegan; Melissa Gilbert; Donald Driver; Gavin DeGraw; Gladys Knight; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,4,Sherri Sheperd,9,William Levy; Jaleel White; Roshon Fegan; Melissa Gilbert; Donald Driver; Gavin DeGraw; Gladys Knight; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,5,Gavin DeGraw,8,William Levy; Jaleel White; Roshon Fegan; Melissa Gilbert; Donald Driver; Gladys Knight; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,6,Gladys Knight,7,William Levy; Jaleel White; Roshon Fegan; Melissa Gilbert; Donald Driver; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,7,Jaleel White,6,William Levy; Roshon Fegan; Melissa Gilbert; Donald Driver; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,8,Roshon Fegan,5,William Levy; Melissa Gilbert; Donald Driver; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,8,Melissa Gilbert,5,William Levy; Roshon Fegan; Donald Driver; Katherine Jenkins; Maria Menounos,PERCENTAGE
14,9,Maria Menounos,3,William Levy; Donald Driver; Katherine Jenkins,PERCENTAGE
15,1,Pamela Anderson,12,Gilles Marini; Sabrina Bryan; Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Helio Castroneves; Joey Fatone; Drew Lachey; Bristol Palin; Melissa Rycroft,PERCENTAGE
15,2,Joey Fatone,11,Gilles Marini; Sabrina Bryan; Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Helio Castroneves; Drew Lachey; Bristol Palin; Melissa Rycroft,PERCENTAGE
15,3,Helio Castroneves,10,Gilles Marini; Sabrina Bryan; Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Drew Lachey; Bristol Palin; Melissa Rycroft,PERCENTAGE
15,3,Drew Lachey,10,Gilles Marini; Sabrina Bryan; Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Helio Castroneves; Bristol Palin; Melissa Rycroft,PERCENTAGE
15,4,Bristol Palin,8,Gilles Marini; Sabrina Bryan; Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Melissa Rycroft,PERCENTAGE
15,6,Sabrina Bryan,7,Gilles Marini; Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Melissa Rycroft,PERCENTAGE
15,8,Gilles Marini,6,Kirstie Alley; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Melissa Rycroft,PERCENTAGE
15,8,Kirstie Alley,6,Gilles Marini; Kelly Monaco; Apolo Anton Ohno; Emmitt Smith; Shawn Johnson; Melissa Rycroft,PERCENTAGE
15,9,Apolo Anton Ohno,4,Kelly Monaco; Emmitt Smith; Shawn Johnson; Melissa Rycroft,PERCENTAGE
15,9,Emmitt Smith,4,Kelly Monaco; Apolo Anton Ohno; Shawn Johnson; Melissa Rycroft,PERCENTAGE
16,3,Wynonna Judd,10,Ingo Rademacher; Zendaya; Victor Ortiz; Alexandra Raisman; Jacoby Jones; D. L. Hughley; Andy Dick; Kellie Pickler; Lisa Vanderpump; Sean Lowe,PERCENTAGE
16,4,Lisa Vanderpump,9,Ingo Rademacher; Zendaya; Victor Ortiz; Alexandra Raisman; Jacoby Jones; D. L. Hughley; Andy Dick; Kellie Pickler; Sean Lowe,PERCENTAGE
16,5,D. L. Hughley,8,Ingo Rademacher; Zendaya; Victor Ortiz; Alexandra Raisman; Jacoby Jones; Andy Dick; Kellie Pickler; Sean Lowe,PERCENTAGE
16,6,Victor Ortiz,7,Ingo Rademacher; Zendaya; Alexandra Raisman; Jacoby Jones; Andy Dick; Kellie Pickler; Sean Lowe,PERCENTAGE
16,7,Andy Dick,6,Ingo Rademacher; Zendaya; Alexandra Raisman; Jacoby Jones; Kellie Pickler; Sean Lowe,PERCENTAGE
16,8,Sean Lowe,5,Ingo Rademacher; Zendaya; Alexandra Raisman; Jacoby Jones; Kellie Pickler,PERCENTAGE
16,9,Ingo Rademacher,4,Zendaya; Alexandra Raisman; Jacoby Jones; Kellie Pickler,PERCENTAGE
16,10,Alexandra Raisman,3,Zendaya; Jacoby Jones; Kellie Pickler,PERCENTAGE
17,2,Keyshawn Johnson,11,"Valerie Harper; Brant Daugherty; Elizabeth Berkley Lauren; Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Christina Milian; Nicole ""Snooki"" Polizzi; Jack Osbourne; Bill Nye",PERCENTAGE
17,3,Bill Nye,10,"Valerie Harper; Brant Daugherty; Elizabeth Berkley Lauren; Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Christina Milian; Nicole ""Snooki"" Polizzi; Jack Osbourne",PERCENTAGE
17,4,Valerie Harper,9,"Brant Daugherty; Elizabeth Berkley Lauren; Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Christina Milian; Nicole ""Snooki"" Polizzi; Jack Osbourne",PERCENTAGE
17,5,Christina Milian,8,"Brant Daugherty; Elizabeth Berkley Lauren; Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Nicole ""Snooki"" Polizzi; Jack Osbourne",PERCENTAGE
17,7,"Nicole ""Snooki"" Polizzi",7,Brant Daugherty; Elizabeth Berkley Lauren; Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Jack Osbourne,PERCENTAGE
17,8,Brant Daugherty,6,Elizabeth Berkley Lauren; Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Jack Osbourne,PERCENTAGE
17,9,Elizabeth Berkley Lauren,5,Leah Remini; Corbin Bleu; Amber Riley; Bill Engvall; Jack Osbourne,PERCENTAGE
17,10,Leah Remini,4,Corbin Bleu; Amber Riley; Bill Engvall; Jack Osbourne,PERCENTAGE
17,11,Bill Engvall,3,Corbin Bleu; Amber Riley; Jack Osbourne,PERCENTAGE
18,2,Sean Avery,10,Billy Dee Williams; Danica McKellar; James Maslow; Candace Cameron Bure; Charlie White; Amy Purdy; Meryl Davis; Drew Carey; Cody Simpson; NeNe Leakes,PERCENTAGE
18,2,Diana Nyad,11,Billy Dee Williams; Danica McKellar; James Maslow; Candace Cameron Bure; Sean Avery; Charlie White; Amy Purdy; Meryl Davis; Drew Carey; Cody Simpson; NeNe Leakes,PERCENTAGE
18,5,Cody Simpson,8,Danica McKellar; James Maslow; Candace Cameron Bure; Charlie White; Amy Purdy; Meryl Davis; Drew Carey; NeNe Leakes,PERCENTAGE
18,6,Drew Carey,7,Danica McKellar; James Maslow; Candace Cameron Bure; Charlie White; Amy Purdy; Meryl Davis; NeNe Leakes,PERCENTAGE
18,7,NeNe Leakes,6,Danica McKellar; James Maslow; Candace Cameron Bure; Charlie White; Amy Purdy; Meryl Davis,PERCENTAGE
18,8,Danica McKellar,5,James Maslow; Candace Cameron Bure; Charlie White; Amy Purdy; Meryl Davis,PERCENTAGE
18,9,Charlie White,4,James Maslow; Candace Cameron Bure; Amy Purdy; Meryl Davis,PERCENTAGE
18,10,James Maslow,3,Candace Cameron Bure; Amy Purdy; Meryl Davis,PERCENTAGE
19,1,Lolo Jones,12,Antonio Sabato Jr.; Jonathan Bennett; Lea Thompson; Janel Parrish; Alfonso Ribeiro; Randy Couture; Tommy Chong; Betsey Johnson; Michael Waltrip; Tavis Smiley; Bethany Mota; Sadie Robertson,PERCENTAGE
19,2,Tavis Smiley,11,Antonio Sabato Jr.; Jonathan Bennett; Lea Thompson; Janel Parrish; Alfonso Ribeiro; Randy Couture; Tommy Chong; Betsey Johnson; Michael Waltrip; Bethany Mota; Sadie Robertson,PERCENTAGE
19,3,Randy Couture,10,Antonio Sabato Jr.; Jonathan Bennett; Lea Thompson; Janel Parrish; Alfonso Ribeiro; Tommy Chong; Betsey Johnson; Michael Waltrip; Bethany Mota; Sadie Robertson,PERCENTAGE
19,4,Betsey Johnson,9,Antonio Sabato Jr.; Jonathan Bennett; Lea Thompson; Janel Parrish; Alfonso Ribeiro; Tommy Chong; Michael Waltrip; Bethany Mota; Sadie Robertson,PERCENTAGE
19,6,Jonathan Bennett,8,Antonio Sabato Jr.; Lea Thompson; Janel Parrish; Alfonso Ribeiro; Tommy Chong; Michael Waltrip; Bethany Mota; Sadie Robertson,PERCENTAGE
19,7,Antonio Sabato Jr.,7,Lea Thompson; Janel Parrish; Alfonso Ribeiro; Tommy Chong; Michael Waltrip; Bethany Mota; Sadie Robertson,PERCENTAGE
19,8,Michael Waltrip,6,Lea Thompson; Janel Parrish; Alfonso Ribeiro; Tommy Chong; Bethany Mota; Sadie Robertson,PERCENTAGE
19,9,Lea Thompson,5,Janel Parrish; Alfonso Ribeiro; Tommy Chong; Bethany Mota; Sadie Robertson,PERCENTAGE
19,10,Tommy Chong,4,Janel Parrish; Alfonso Ribeiro; Bethany Mota; Sadie Robertson,PERCENTAGE
19,11,Bethany Mota,3,Janel Parrish; Alfonso Ribeiro; Sadie Robertson,PERCENTAGE
20,2,Redfoo,11,Suzanne Somers; Willow Shields; Riker Lynch; Rumer Willis; Nastia Liukin; Michael Sam; Robert Herjavec; Charlotte McKinney; Noah Galloway; Patti LaBelle; Chris Soules,PERCENTAGE
20,3,Charlotte McKinney,10,Suzanne Somers; Willow Shields; Riker Lynch; Rumer Willis; Nastia Liukin; Michael Sam; Robert Herjavec; Noah Galloway; Patti LaBelle; Chris Soules,PERCENTAGE
20,4,Michael Sam,9,Suzanne Somers; Willow Shields; Riker Lynch; Rumer Willis; Nastia Liukin; Robert Herjavec; Noah Galloway; Patti LaBelle; Chris Soules,PERCENTAGE
